Datetime,Region,Energy Required (MU),Peak Demand (MW),Grid Frequency (Hz)
2023-01-01 00:00:00,Northern Region,371.32,6776.9,50.04
2023-01-01 00:00:00,Western Region,379.62,6928.6,49.99
2023-01-01 00:00:00,Southern Region,318.0,5805.8,49.92
2023-01-01 00:00:00,Eastern Region,176.46,3227.4,49.98
2023-01-01 00:00:00,North-Eastern Region,168.19,3038.3,49.96
2023-01-01 01:00:00,Northern Region,337.05,6140.0,50.08
2023-01-01 01:00:00,Western Region,402.16,7339.8,50.01
2023-01-01 01:00:00,Southern Region,348.13,6284.8,49.95
2023-01-01 01:00:00,Eastern Region,159.34,2911.7,50.01
2023-01-01 01:00:00,North-Eastern Region,164.13,3011.4,50.0
2023-01-01 02:00:00,Northern Region,329.58,6008.2,49.98
2023-01-01 02:00:00,Western Region,348.69,6317.9,50.02
2023-01-01 02:00:00,Southern Region,318.25,5849.2,50.01
2023-01-01 02:00:00,Eastern Region,189.95,3427.3,50.01
2023-01-01 02:00:00,North-Eastern Region,142.95,2601.7,50.04
2023-01-01 03:00:00,Northern Region,320.38,5830.0,50.03
2023-01-01 03:00:00,Western Region,395.39,7177.8,49.97
2023-01-01 03:00:00,Southern Region,317.53,5783.5,49.98
2023-01-01 03:00:00,Eastern Region,169.74,3120.0,49.96
2023-01-01 03:00:00,North-Eastern Region,189.31,3411.4,50.02
2023-01-01 04:00:00,Northern Region,336.51,6187.0,49.98
2023-01-01 04:00:00,Western Region,375.51,6854.7,50.04
2023-01-01 04:00:00,Southern Region,330.25,6068.7,49.96
2023-01-01 04:00:00,Eastern Region,154.23,2812.6,49.97
2023-01-01 04:00:00,North-Eastern Region,144.62,2676.6,50.04
2023-01-01 05:00:00,Northern Region,311.31,5695.6,50.05
2023-01-01 05:00:00,Western Region,370.66,6784.8,49.94
2023-01-01 05:00:00,Southern Region,336.02,6110.7,50.02
2023-01-01 05:00:00,Eastern Region,177.6,3239.0,49.97
2023-01-01 05:00:00,North-Eastern Region,194.85,3566.3,49.98
2023-01-01 06:00:00,Northern Region,351.47,6439.0,50.03
2023-01-01 06:00:00,Western Region,391.42,7112.1,50.04
2023-01-01 06:00:00,Southern Region,330.41,5987.5,50.03
2023-01-01 06:00:00,Eastern Region,161.65,2990.2,49.96
2023-01-01 06:00:00,North-Eastern Region,159.22,2857.9,50.0
2023-01-01 07:00:00,Northern Region,373.13,6767.8,50.0
2023-01-01 07:00:00,Western Region,414.64,7554.1,50.03
2023-01-01 07:00:00,Southern Region,384.68,6968.8,50.04
2023-01-01 07:00:00,Eastern Region,192.07,3520.7,50.04
2023-01-01 07:00:00,North-Eastern Region,183.82,3369.0,49.97
2023-01-01 08:00:00,Northern Region,408.8,7391.5,50.03
2023-01-01 08:00:00,Western Region,450.39,8146.7,50.01
2023-01-01 08:00:00,Southern Region,392.01,7198.1,50.01
2023-01-01 08:00:00,Eastern Region,234.54,4290.5,49.97
2023-01-01 08:00:00,North-Eastern Region,204.58,3730.7,50.03
2023-01-01 09:00:00,Northern Region,397.29,7223.1,49.98
2023-01-01 09:00:00,Western Region,476.85,8684.7,50.01
2023-01-01 09:00:00,Southern Region,430.82,7835.7,50.03
2023-01-01 09:00:00,Eastern Region,204.6,3711.4,50.01
2023-01-01 09:00:00,North-Eastern Region,213.3,3852.6,50.09
2023-01-01 10:00:00,Northern Region,425.43,7697.2,50.05
2023-01-01 10:00:00,Western Region,502.92,9164.9,49.97
2023-01-01 10:00:00,Southern Region,419.03,7619.8,50.0
2023-01-01 10:00:00,Eastern Region,220.19,4010.3,50.05
2023-01-01 10:00:00,North-Eastern Region,203.53,3647.0,49.98
2023-01-01 11:00:00,Northern Region,431.58,7772.6,50.06
2023-01-01 11:00:00,Western Region,516.31,9378.0,49.98
2023-01-01 11:00:00,Southern Region,482.72,8819.4,50.04
2023-01-01 11:00:00,Eastern Region,233.25,4213.3,49.99
2023-01-01 11:00:00,North-Eastern Region,214.1,3957.5,49.96
2023-01-01 12:00:00,Northern Region,449.68,8135.2,50.03
2023-01-01 12:00:00,Western Region,502.93,9171.6,50.01
2023-01-01 12:00:00,Southern Region,466.2,8559.7,49.98
2023-01-01 12:00:00,Eastern Region,242.09,4369.0,49.97
2023-01-01 12:00:00,North-Eastern Region,245.95,4453.1,50.0
2023-01-01 13:00:00,Northern Region,487.6,8876.8,49.98
2023-01-01 13:00:00,Western Region,537.74,9723.4,49.99
2023-01-01 13:00:00,Southern Region,493.21,9029.0,50.03
2023-01-01 13:00:00,Eastern Region,240.94,4390.1,49.97
2023-01-01 13:00:00,North-Eastern Region,253.07,4633.0,49.98
2023-01-01 14:00:00,Northern Region,456.75,8325.9,50.05
2023-01-01 14:00:00,Western Region,533.28,9713.7,50.02
2023-01-01 14:00:00,Southern Region,494.83,9021.3,49.96
2023-01-01 14:00:00,Eastern Region,252.7,4590.2,50.0
