Date,Holiday_Name,Type,Grid_Impact
2023-01-26,Republic Day,National,High
2023-03-08,Holi,Festival,Medium
2023-08-15,Independence Day,National,High
2023-10-02,Gandhi Jayanti,National,Medium
2023-10-24,Dussehra,Festival,Medium
2023-11-12,Diwali,Festival,High
2023-12-25,Christmas,Festival,Medium
2024-01-26,Republic Day,National,High
2024-03-25,Holi,Festival,Medium
2024-08-15,Independence Day,National,High
2024-10-02,Gandhi Jayanti,National,Medium
2024-11-01,Diwali,Festival,High
2025-01-26,Republic Day,National,High
2025-08-15,Independence Day,National,High
2025-10-20,Diwali,Festival,High
