Datetime,State,Region,Energy Required (MU),Energy Available (MU),Peak Demand (MW),Peak Met (MW),Solar Generation,Wind Generation,Hydro Generation,Temperature,Rainfall,Humidity,Holiday,Festival
2023-01-01 00:00:00,Maharashtra,Western Region,276.66,274.24,5168.7,4966.2,0.0,41.1,51.91,15.3,0.0,43.9,1,None
2023-01-01 01:00:00,Maharashtra,Western Region,229.8,227.12,4223.2,4077.8,0.0,51.42,38.52,13.3,0.0,40.8,1,None
2023-01-01 02:00:00,Maharashtra,Western Region,274.75,266.89,5102.6,5022.5,0.0,42.95,53.59,12.6,0.0,33.7,1,None
2023-01-01 03:00:00,Maharashtra,Western Region,223.06,216.6,4073.7,4058.9,0.0,40.79,61.11,13.2,0.0,52.6,1,None
2023-01-01 04:00:00,Maharashtra,Western Region,221.0,220.48,4132.6,3981.9,0.0,64.73,57.16,15.8,0.0,35.2,1,None
2023-01-01 05:00:00,Maharashtra,Western Region,257.07,250.44,4667.6,4630.7,0.0,35.2,56.34,13.7,0.0,32.3,1,None
2023-01-01 06:00:00,Maharashtra,Western Region,278.4,277.26,5075.0,4884.9,5.15,42.45,44.96,15.0,0.8,49.9,1,None
2023-01-01 07:00:00,Maharashtra,Western Region,292.43,289.91,5406.2,5354.5,25.08,37.8,51.78,18.6,0.0,36.1,1,None
2023-01-01 08:00:00,Maharashtra,Western Region,346.54,339.41,6456.2,6262.3,46.9,34.08,50.52,20.2,0.0,47.7,1,None
2023-01-01 09:00:00,Maharashtra,Western Region,394.03,392.51,7347.5,7289.8,82.26,22.7,47.44,19.1,0.0,56.8,1,None
2023-01-01 10:00:00,Maharashtra,Western Region,386.69,384.58,7021.0,6802.5,100.41,19.39,47.65,22.1,0.0,46.4,1,None
2023-01-01 11:00:00,Maharashtra,Western Region,400.55,400.21,7480.4,7469.2,111.9,22.23,37.87,21.3,0.0,42.3,1,None
2023-01-01 12:00:00,Maharashtra,Western Region,410.0,399.48,7602.0,7371.5,120.3,39.71,48.85,21.4,0.0,31.6,1,None
2023-01-01 13:00:00,Maharashtra,Western Region,406.08,400.42,7582.1,7306.2,119.67,14.1,58.3,21.9,0.0,54.1,1,None
2023-01-01 14:00:00,Maharashtra,Western Region,360.3,356.46,6692.4,6528.2,104.42,17.98,40.7,21.3,0.0,52.4,1,None
2023-01-01 15:00:00,Maharashtra,Western Region,350.33,345.66,6507.4,6385.0,83.24,21.54,53.34,20.5,0.0,38.7,1,None
2023-01-01 16:00:00,Maharashtra,Western Region,296.44,294.0,5515.0,5313.0,61.3,33.75,42.58,21.0,0.0,43.4,1,None
2023-01-01 17:00:00,Maharashtra,Western Region,288.62,286.13,5372.3,5208.4,27.49,46.04,52.84,22.7,0.1,47.3,1,None
2023-01-01 18:00:00,Maharashtra,Western Region,307.02,301.2,5635.4,5629.3,2.12,42.52,44.79,21.7,0.0,38.4,1,None
2023-01-01 19:00:00,Maharashtra,Western Region,331.2,327.0,6056.9,5989.7,0.0,36.97,50.08,17.8,0.0,52.0,1,None
2023-01-01 20:00:00,Maharashtra,Western Region,322.98,322.66,5932.8,5897.5,0.0,46.36,49.26,17.9,0.0,36.4,1,None
2023-01-01 21:00:00,Maharashtra,Western Region,338.5,334.13,6273.8,6271.3,0.0,41.5,51.04,14.7,0.0,37.6,1,None
2023-01-01 22:00:00,Maharashtra,Western Region,337.55,334.54,6175.8,6128.7,0.0,38.85,55.23,14.8,0.0,45.5,1,None
2023-01-01 23:00:00,Maharashtra,Western Region,365.97,363.76,6837.0,6781.2,0.0,51.55,53.09,13.8,0.0,47.4,1,None
2023-01-02 00:00:00,Maharashtra,Western Region,290.56,282.16,5491.1,5334.4,0.0,56.07,50.99,16.0,0.0,42.5,0,None
2023-01-02 01:00:00,Maharashtra,Western Region,292.65,288.46,5378.3,5297.2,0.0,50.13,44.64,11.3,0.9,41.7,0,None
2023-01-02 02:00:00,Maharashtra,Western Region,256.38,254.8,4720.8,4546.8,0.0,62.74,37.85,15.0,0.0,64.1,0,None
2023-01-02 03:00:00,Maharashtra,Western Region,253.27,247.57,4773.8,4708.9,0.0,52.53,47.99,11.6,0.0,49.0,0,None
2023-01-02 04:00:00,Maharashtra,Western Region,242.03,237.35,4465.7,4304.5,0.0,55.71,40.88,15.1,0.0,48.0,0,None
2023-01-02 05:00:00,Maharashtra,Western Region,241.28,238.5,4441.7,4330.6,0.0,30.69,38.03,18.0,0.0,20.0,0,None
2023-01-02 06:00:00,Maharashtra,Western Region,314.93,305.73,5796.2,5700.2,11.74,27.15,52.77,16.2,0.0,45.5,0,None
2023-01-02 07:00:00,Maharashtra,Western Region,357.36,350.78,6625.2,6379.1,27.98,48.01,54.12,17.1,0.0,50.3,0,None
2023-01-02 08:00:00,Maharashtra,Western Region,420.36,418.81,7849.3,7766.1,57.68,22.52,47.87,17.1,0.8,52.1,0,None
2023-01-02 09:00:00,Maharashtra,Western Region,440.98,432.67,8124.7,8102.2,88.59,29.28,49.87,18.1,0.0,52.0,0,None
2023-01-02 10:00:00,Maharashtra,Western Region,464.55,462.13,8640.7,8405.7,109.42,18.75,51.57,21.7,0.0,43.3,0,None
2023-01-02 11:00:00,Maharashtra,Western Region,487.22,479.16,8963.3,8845.9,114.56,15.61,61.47,20.5,1.2,51.8,0,None
2023-01-02 12:00:00,Maharashtra,Western Region,461.91,454.17,8511.5,8473.3,123.34,19.9,44.62,19.6,0.0,51.2,0,None
2023-01-02 13:00:00,Maharashtra,Western Region,440.56,438.21,8126.8,7829.3,118.98,31.37,47.4,20.6,0.0,42.4,0,None
2023-01-02 14:00:00,Maharashtra,Western Region,412.93,405.8,7713.0,7684.1,101.54,16.26,48.72,22.3,0.0,54.2,0,None
2023-01-02 15:00:00,Maharashtra,Western Region,403.3,402.84,7388.8,7350.0,86.47,17.78,53.12,21.8,0.3,37.0,0,None
2023-01-02 16:00:00,Maharashtra,Western Region,393.51,389.92,7300.2,7140.9,60.06,31.29,50.33,20.2,0.0,46.8,0,None
2023-01-02 17:00:00,Maharashtra,Western Region,339.29,333.83,6328.5,6095.0,42.01,24.65,44.96,22.6,0.0,59.5,0,None
2023-01-02 18:00:00,Maharashtra,Western Region,362.38,356.06,6777.9,6759.7,9.38,39.57,55.82,17.3,0.0,47.7,0,None
2023-01-02 19:00:00,Maharashtra,Western Region,348.28,342.17,6505.1,6316.0,0.0,25.18,58.12,18.9,0.0,42.7,0,None
2023-01-02 20:00:00,Maharashtra,Western Region,333.07,329.79,6188.6,6094.1,0.0,40.0,40.41,18.0,0.0,45.4,0,None
2023-01-02 21:00:00,Maharashtra,Western Region,385.58,380.4,7136.6,7011.3,0.0,58.02,50.69,15.7,0.0,42.6,0,None
2023-01-02 22:00:00,Maharashtra,Western Region,350.47,340.11,6466.6,6298.6,0.0,59.9,55.27,15.6,0.0,52.8,0,None
2023-01-02 23:00:00,Maharashtra,Western Region,376.75,369.93,6973.6,6868.2,0.0,47.33,54.31,12.6,0.0,56.6,0,None
2023-01-03 00:00:00,Maharashtra,Western Region,343.58,335.75,6284.2,6051.9,0.0,49.95,52.42,12.0,0.0,44.6,0,None
2023-01-03 01:00:00,Maharashtra,Western Region,276.59,269.89,5142.1,4944.8,0.0,48.99,55.73,12.5,0.0,48.9,0,None
2023-01-03 02:00:00,Maharashtra,Western Region,263.06,260.62,4752.5,4569.9,0.0,36.52,48.85,13.2,0.0,38.7,0,None
2023-01-03 03:00:00,Maharashtra,Western Region,252.15,245.98,4702.7,4554.0,0.0,44.71,48.67,14.9,0.0,54.6,0,None
2023-01-03 04:00:00,Maharashtra,Western Region,266.78,265.94,4886.0,4790.6,0.0,37.49,36.85,14.1,0.0,26.6,0,None
2023-01-03 05:00:00,Maharashtra,Western Region,271.87,263.88,4958.5,4824.0,0.0,26.03,51.22,13.7,0.0,45.6,0,None
2023-01-03 06:00:00,Maharashtra,Western Region,328.97,324.02,6089.8,5989.2,1.09,42.28,56.33,15.0,0.0,36.3,0,None
2023-01-03 07:00:00,Maharashtra,Western Region,379.99,372.65,7125.3,7121.5,38.97,24.11,41.7,15.7,0.0,41.5,0,None
2023-01-03 08:00:00,Maharashtra,Western Region,409.45,400.67,7577.3,7398.6,57.71,22.49,47.71,15.9,0.0,49.5,0,None
2023-01-03 09:00:00,Maharashtra,Western Region,448.49,447.54,8248.2,8102.0,84.43,19.78,54.53,17.8,0.0,48.1,0,None
2023-01-03 10:00:00,Maharashtra,Western Region,427.9,418.17,7929.1,7703.5,101.1,13.99,51.68,17.5,0.0,49.3,0,None
2023-01-03 11:00:00,Maharashtra,Western Region,458.34,445.46,8460.1,8456.7,117.25,15.3,50.28,19.5,0.0,35.9,0,None
2023-01-03 12:00:00,Maharashtra,Western Region,497.28,488.51,9228.5,9166.0,125.53,26.17,45.66,23.0,0.0,40.4,0,None
2023-01-03 13:00:00,Maharashtra,Western Region,455.02,443.28,8430.6,8361.6,116.36,21.2,49.07,21.6,0.0,46.4,0,None
2023-01-03 14:00:00,Maharashtra,Western Region,413.68,412.16,7713.1,7540.1,106.64,30.29,36.75,21.3,0.0,41.5,0,None
2023-01-03 15:00:00,Maharashtra,Western Region,385.21,378.09,7115.4,6985.5,73.7,24.54,60.06,21.3,0.0,39.6,0,None
2023-01-03 16:00:00,Maharashtra,Western Region,353.37,351.19,6569.0,6541.1,60.83,32.05,44.75,21.8,0.0,51.2,0,None
2023-01-03 17:00:00,Maharashtra,Western Region,349.36,346.87,6439.3,6407.6,33.08,37.76,44.86,24.2,0.0,41.1,0,None
2023-01-03 18:00:00,Maharashtra,Western Region,338.11,335.29,6298.5,6221.4,6.43,31.44,47.44,21.6,0.0,40.9,0,None
2023-01-03 19:00:00,Maharashtra,Western Region,372.44,366.43,6899.2,6792.0,0.0,41.13,39.33,21.1,0.0,31.9,0,None
2023-01-03 20:00:00,Maharashtra,Western Region,360.24,351.08,6758.5,6602.8,0.0,48.31,51.3,22.0,0.0,45.9,0,None
2023-01-03 21:00:00,Maharashtra,Western Region,349.83,349.67,6598.8,6440.2,0.0,46.41,44.06,19.0,0.0,46.5,0,None
2023-01-03 22:00:00,Maharashtra,Western Region,313.99,313.24,5744.3,5684.0,0.0,44.58,55.11,16.8,0.0,43.7,0,None
2023-01-03 23:00:00,Maharashtra,Western Region,346.29,341.08,6446.6,6282.2,0.0,47.4,48.53,13.2,0.0,33.0,0,None
2023-01-04 00:00:00,Maharashtra,Western Region,296.72,288.58,5489.4,5400.6,0.0,59.01,48.39,14.3,0.5,59.8,0,None
2023-01-04 01:00:00,Maharashtra,Western Region,283.73,276.84,5247.4,5156.1,0.0,49.3,49.31,14.4,0.0,45.1,0,None
2023-01-04 02:00:00,Maharashtra,Western Region,231.1,225.24,4289.8,4280.6,0.0,26.72,57.48,13.2,0.0,56.1,0,None
2023-01-04 03:00:00,Maharashtra,Western Region,246.93,240.68,4615.0,4435.4,0.0,39.38,47.83,13.8,0.0,33.7,0,None
2023-01-04 04:00:00,Maharashtra,Western Region,250.51,247.9,4616.9,4477.1,0.0,36.67,46.85,16.4,0.0,39.4,0,None
2023-01-04 05:00:00,Maharashtra,Western Region,262.37,256.11,4883.5,4690.7,0.0,42.44,59.88,14.8,0.0,50.7,0,None
2023-01-04 06:00:00,Maharashtra,Western Region,305.59,301.83,5583.0,5419.5,8.82,30.82,56.29,15.5,0.0,31.6,0,None
2023-01-04 07:00:00,Maharashtra,Western Region,370.54,368.32,6836.8,6636.8,22.29,26.76,55.83,15.0,0.0,59.0,0,None
2023-01-04 08:00:00,Maharashtra,Western Region,399.97,390.03,7416.8,7200.9,63.36,28.87,48.9,17.9,0.0,62.2,0,None
2023-01-04 09:00:00,Maharashtra,Western Region,447.12,433.85,8284.5,8152.1,94.88,30.13,47.19,19.3,0.0,37.2,0,None
2023-01-04 10:00:00,Maharashtra,Western Region,455.0,443.62,8418.8,8330.6,106.47,7.28,42.32,21.5,0.0,37.0,0,None
2023-01-04 11:00:00,Maharashtra,Western Region,457.99,448.33,8425.3,8312.0,108.29,14.12,58.05,21.1,0.0,39.0,0,None
2023-01-04 12:00:00,Maharashtra,Western Region,506.54,496.42,9366.2,9280.4,120.9,15.39,50.73,25.4,0.0,45.8,0,None
2023-01-04 13:00:00,Maharashtra,Western Region,445.49,441.41,8272.7,8061.2,108.12,17.31,53.0,21.8,0.0,59.2,0,None
2023-01-04 14:00:00,Maharashtra,Western Region,416.67,412.82,7762.4,7715.6,102.79,25.05,53.66,19.6,0.0,34.4,0,None
2023-01-04 15:00:00,Maharashtra,Western Region,377.11,376.78,6974.6,6936.1,88.95,25.46,52.68,21.8,0.0,31.7,0,None
2023-01-04 16:00:00,Maharashtra,Western Region,352.85,343.08,6512.3,6433.2,64.43,28.27,47.23,22.5,0.0,41.3,0,None
2023-01-04 17:00:00,Maharashtra,Western Region,363.94,359.86,6746.2,6539.2,33.12,15.68,46.1,22.7,0.0,37.8,0,None
2023-01-04 18:00:00,Maharashtra,Western Region,380.88,379.44,7028.1,7023.6,0.24,30.86,58.46,21.3,0.0,50.7,0,None
2023-01-04 19:00:00,Maharashtra,Western Region,345.49,338.1,6351.3,6172.5,0.0,31.9,54.76,18.4,0.0,56.6,0,None
2023-01-04 20:00:00,Maharashtra,Western Region,373.37,369.04,6941.1,6709.8,0.0,50.37,48.72,15.1,0.0,35.3,0,None
2023-01-04 21:00:00,Maharashtra,Western Region,349.58,341.05,6437.3,6380.5,0.0,33.05,50.44,17.2,0.0,48.9,0,None
2023-01-04 22:00:00,Maharashtra,Western Region,346.54,344.63,6434.6,6235.0,0.0,59.35,46.58,15.3,0.0,43.7,0,None
2023-01-04 23:00:00,Maharashtra,Western Region,330.24,321.62,6138.6,6111.3,0.0,42.77,50.99,15.5,0.0,32.9,0,None
2023-01-05 00:00:00,Maharashtra,Western Region,286.21,283.84,5258.3,5152.3,0.0,48.58,45.21,15.4,0.0,53.7,0,None
2023-01-05 01:00:00,Maharashtra,Western Region,304.73,298.77,5654.7,5581.9,0.0,21.64,44.78,13.4,0.0,46.8,0,None
2023-01-05 02:00:00,Maharashtra,Western Region,282.64,280.07,5254.2,5187.0,0.0,52.72,56.65,11.5,0.0,48.7,0,None
2023-01-05 03:00:00,Maharashtra,Western Region,226.65,225.41,4217.8,4189.5,0.0,42.64,45.0,16.2,0.0,50.2,0,None
2023-01-05 04:00:00,Maharashtra,Western Region,233.14,230.58,4350.4,4270.4,0.0,44.03,50.28,14.2,0.0,45.0,0,None
2023-01-05 05:00:00,Maharashtra,Western Region,296.13,295.53,5406.3,5212.2,0.0,43.19,50.29,14.7,0.0,46.8,0,None
2023-01-05 06:00:00,Maharashtra,Western Region,300.84,294.94,5541.5,5513.0,5.37,26.79,50.8,16.3,0.0,48.3,0,None
2023-01-05 07:00:00,Maharashtra,Western Region,366.58,360.49,6835.7,6637.1,32.94,30.07,37.79,17.2,0.0,40.5,0,None
2023-01-05 08:00:00,Maharashtra,Western Region,404.8,400.6,7477.7,7460.8,54.89,33.17,51.46,16.2,0.0,43.6,0,None
2023-01-05 09:00:00,Maharashtra,Western Region,434.7,422.07,8008.5,7896.9,79.5,31.58,48.76,17.3,0.0,59.8,0,None
2023-01-05 10:00:00,Maharashtra,Western Region,471.09,467.71,8667.9,8332.5,105.64,25.66,53.42,21.4,0.0,42.3,0,None
2023-01-05 11:00:00,Maharashtra,Western Region,476.87,468.72,8784.2,8503.3,119.46,12.27,49.7,21.3,0.0,46.6,0,None
2023-01-05 12:00:00,Maharashtra,Western Region,432.43,419.61,7991.3,7825.1,124.2,14.78,47.32,20.4,0.0,44.9,0,None
